Site,Status,Tempo,Elemento_OK,Hora
Teste 403,Erro,,False,2025-08-21 12:16:00
Google,200,0.20365214347839355,False,2025-08-21 12:17:00
LinkedIn,200,0.3939948081970215,False,2025-08-21 12:17:07
Amazon,503,0.2035350799560547,True,2025-08-21 12:17:13
Globo,200,0.12488222122192383,False,2025-08-21 12:17:15
Teste 404,Erro,,False,2025-08-21 12:17:25
Teste 500,Erro,,False,2025-08-21 12:17:25
Teste 301,200,0.1943504810333252,False,2025-08-21 12:17:26
Teste 403,Erro,,False,2025-08-21 12:17:26
Google,200,0.23868179321289062,False,2025-08-21 12:18:26
LinkedIn,200,0.34302520751953125,False,2025-08-21 12:18:32
Amazon,503,0.1957089900970459,True,2025-08-21 12:18:38
Globo,200,0.13121533393859863,False,2025-08-21 12:18:40
Teste 404,Erro,,False,2025-08-21 12:18:50
Teste 500,Erro,,False,2025-08-21 12:18:51
Teste 301,200,0.1978011131286621,False,2025-08-21 12:18:51
Teste 403,Erro,,False,2025-08-21 12:18:51
Google,200,0.20836853981018066,False,2025-08-21 12:19:51
LinkedIn,200,0.36878299713134766,False,2025-08-21 12:19:57
Amazon,503,0.18722152709960938,True,2025-08-21 12:20:04
Globo,200,0.34259772300720215,False,2025-08-21 12:20:05
Teste 404,Erro,,False,2025-08-21 12:20:16
Teste 500,Erro,,False,2025-08-21 12:20:16
Teste 301,200,0.19881296157836914,False,2025-08-21 12:20:16
Teste 403,Erro,,False,2025-08-21 12:20:17
Google,200,0.25431156158447266,False,2025-08-21 12:21:17
LinkedIn,200,0.31964683532714844,False,2025-08-21 12:21:23
Amazon,503,0.18625473976135254,True,2025-08-21 12:21:30
Globo,200,0.11856293678283691,False,2025-08-21 12:21:31
Teste 404,Erro,,False,2025-08-21 12:21:41
Teste 500,Erro,,False,2025-08-21 12:21:42
Teste 301,200,0.19533610343933105,False,2025-08-21 12:21:42
Teste 403,Erro,,False,2025-08-21 12:21:42
Google,200,0.19731378555297852,False,2025-08-21 12:22:43
LinkedIn,200,0.3298158645629883,False,2025-08-21 12:22:49
Amazon,503,0.2260596752166748,True,2025-08-21 12:22:55
Globo,200,0.3257572650909424,False,2025-08-21 12:22:57
Teste 404,Erro,,False,2025-08-21 12:23:07
Teste 500,Erro,,False,2025-08-21 12:23:07
Teste 301,200,0.2015678882598877,False,2025-08-21 12:23:07
Teste 403,Erro,,False,2025-08-21 12:23:08
Google,200,0.19674921035766602,False,2025-08-21 12:24:08
LinkedIn,200,0.3609275817871094,False,2025-08-21 12:24:14
Amazon,503,0.5217270851135254,True,2025-08-21 12:24:20
Globo,200,0.13562250137329102,False,2025-08-21 12:24:23
Teste 404,Erro,,False,2025-08-21 12:24:32
Teste 500,Erro,,False,2025-08-21 12:24:33
Teste 301,200,0.21924304962158203,False,2025-08-21 12:24:33
Teste 403,Erro,,False,2025-08-21 12:24:33
Google,200,0.19890332221984863,False,2025-08-21 12:25:34
LinkedIn,200,0.4444246292114258,False,2025-08-21 12:25:40
Amazon,503,0.4114060401916504,True,2025-08-21 12:25:46
Globo,200,0.15765762329101562,False,2025-08-21 12:25:49
Teste 404,Erro,,False,2025-08-21 12:25:59
Teste 500,Erro,,False,2025-08-21 12:26:00
Teste 301,200,0.21186304092407227,False,2025-08-21 12:26:00
Teste 403,Erro,,False,2025-08-21 12:26:00
Google,200,0.2564716339111328,False,2025-08-21 12:27:01
LinkedIn,200,0.37522125244140625,False,2025-08-21 12:27:07
Amazon,503,0.19824433326721191,True,2025-08-21 12:27:13
Globo,200,0.18988776206970215,False,2025-08-21 12:27:15
Teste 404,Erro,,False,2025-08-21 12:27:24
Teste 500,Erro,,False,2025-08-21 12:27:25
Teste 301,200,0.19685673713684082,False,2025-08-21 12:27:25
Teste 403,Erro,,False,2025-08-21 12:27:25
Google,200,0.1752011775970459,False,2025-08-21 12:28:26
LinkedIn,200,0.34694910049438477,False,2025-08-21 12:28:32
Amazon,503,0.1874103546142578,True,2025-08-21 12:28:38
Globo,200,0.1136314868927002,False,2025-08-21 12:28:40
Teste 404,Erro,,False,2025-08-21 12:28:49
Teste 500,Erro,,False,2025-08-21 12:28:50
Teste 301,200,0.1979227066040039,False,2025-08-21 12:28:50
Teste 403,Erro,,False,2025-08-21 12:28:50
Google,200,0.1928119659423828,False,2025-08-21 12:29:51
LinkedIn,200,0.4047985076904297,False,2025-08-21 12:29:57
Amazon,503,0.21257781982421875,True,2025-08-21 12:30:03
Globo,200,0.12188196182250977,False,2025-08-21 12:30:05
Teste 404,Erro,,False,2025-08-21 12:30:15
Teste 500,Erro,,False,2025-08-21 12:30:15
Teste 301,200,0.19790410995483398,False,2025-08-21 12:30:15
Teste 403,Erro,,False,2025-08-21 12:30:15
Google,200,0.21545696258544922,False,2025-08-21 12:31:16
LinkedIn,200,0.5614521503448486,False,2025-08-21 12:31:22
Amazon,503,0.28964900970458984,True,2025-08-21 12:31:29
Globo,200,0.29992079734802246,False,2025-08-21 12:31:31
Teste 404,Erro,,False,2025-08-21 12:31:41
Teste 500,Erro,,False,2025-08-21 12:31:42
Teste 301,200,0.203721284866333,False,2025-08-21 12:31:42
Teste 403,Erro,,False,2025-08-21 12:31:42
Google,200,0.2617921829223633,False,2025-08-21 12:32:43
LinkedIn,200,0.5186684131622314,False,2025-08-21 12:32:49
Amazon,503,0.40499329566955566,True,2025-08-21 12:32:55
Globo,200,0.16835641860961914,False,2025-08-21 12:32:57
Teste 404,Erro,,False,2025-08-21 12:33:03
Teste 500,Erro,,False,2025-08-21 12:33:04
Teste 301,200,0.21062040328979492,False,2025-08-21 12:33:04
Teste 403,Erro,,False,2025-08-21 12:33:04
Google,200,0.18796658515930176,False,2025-08-21 12:34:04
LinkedIn,200,0.3080484867095947,False,2025-08-21 12:34:10
Amazon,503,0.40579843521118164,True,2025-08-21 12:34:17
Globo,200,0.11439251899719238,False,2025-08-21 12:34:19
Teste 404,Erro,,False,2025-08-21 12:34:29
Teste 500,Erro,,False,2025-08-21 12:34:29
Teste 301,200,0.22008514404296875,False,2025-08-21 12:34:29
Teste 403,Erro,,False,2025-08-21 12:34:30
Google,200,0.18974566459655762,False,2025-08-21 12:35:30
LinkedIn,200,0.3033897876739502,False,2025-08-21 12:35:36
Amazon,503,0.18761825561523438,True,2025-08-21 12:35:42
Globo,200,0.19336628913879395,False,2025-08-21 12:35:44
Teste 404,Erro,,False,2025-08-21 12:35:54
Teste 500,Erro,,False,2025-08-21 12:35:54
Teste 301,200,0.20004701614379883,False,2025-08-21 12:35:55
Teste 403,Erro,,False,2025-08-21 12:35:55
Google,200,0.19850945472717285,False,2025-08-21 12:36:55
LinkedIn,200,0.3682084083557129,False,2025-08-21 12:37:01
Amazon,503,0.2134244441986084,True,2025-08-21 12:37:08
Globo,200,0.16697454452514648,False,2025-08-21 12:37:10
Teste 404,Erro,,False,2025-08-21 12:37:20
Teste 500,Erro,,False,2025-08-21 12:37:21
Teste 301,200,0.2002556324005127,False,2025-08-21 12:37:22
Teste 403,Erro,,False,2025-08-21 12:37:22
Google,200,0.21584296226501465,False,2025-08-21 12:38:22
LinkedIn,200,0.33889102935791016,False,2025-08-21 12:38:28
Amazon,503,0.5536818504333496,True,2025-08-21 12:38:35
Globo,200,0.17330098152160645,False,2025-08-21 12:38:37
Teste 404,Erro,,False,2025-08-21 12:38:54
Teste 500,Erro,,False,2025-08-21 12:38:55
Teste 301,200,0.20559906959533691,False,2025-08-21 12:38:55
Teste 403,Erro,,False,2025-08-21 12:38:55
Google,200,0.17998957633972168,False,2025-08-21 12:39:55
LinkedIn,200,0.4192311763763428,False,2025-08-21 12:40:02
Amazon,503,0.22524309158325195,True,2025-08-21 12:40:08
Globo,200,0.24340271949768066,False,2025-08-21 12:40:10
Teste 404,Erro,,False,2025-08-21 12:40:23
Teste 500,Erro,,False,2025-08-21 12:40:24
Teste 301,200,0.3990185260772705,False,2025-08-21 12:40:24
Teste 403,Erro,,False,2025-08-21 12:40:24
Google,200,0.2768888473510742,False,2025-08-21 12:41:25
LinkedIn,200,0.40911126136779785,False,2025-08-21 12:41:31
Amazon,503,0.19919395446777344,True,2025-08-21 12:41:37
Globo,200,0.21918964385986328,False,2025-08-21 12:41:39
Teste 404,Erro,,False,2025-08-21 12:41:49
Teste 500,Erro,,False,2025-08-21 12:41:49
Teste 301,200,0.33200550079345703,False,2025-08-21 12:41:50
Teste 403,Erro,,False,2025-08-21 12:41:50
Google,200,0.19008159637451172,False,2025-08-21 12:42:50
LinkedIn,200,0.44654417037963867,False,2025-08-21 12:42:56
Amazon,503,0.4418807029724121,True,2025-08-21 12:43:03
Globo,200,0.22100067138671875,False,2025-08-21 12:43:04
Teste 404,Erro,,False,2025-08-21 12:43:14
Teste 500,Erro,,False,2025-08-21 12:43:14
Teste 301,200,0.19731998443603516,False,2025-08-21 12:43:15
Teste 403,Erro,,False,2025-08-21 12:43:15
Google,200,0.21054768562316895,False,2025-08-21 12:44:15
LinkedIn,200,0.4445517063140869,False,2025-08-21 12:44:21
Amazon,503,0.19053006172180176,True,2025-08-21 12:44:28
Globo,200,0.23180770874023438,False,2025-08-21 12:44:31
Teste 404,Erro,,False,2025-08-21 12:44:41
Teste 500,Erro,,False,2025-08-21 12:44:41
Teste 301,200,0.19376921653747559,False,2025-08-21 12:44:41
Teste 403,Erro,,False,2025-08-21 12:44:42
Google,200,0.2053842544555664,False,2025-08-21 12:45:42
LinkedIn,200,0.3251383304595947,False,2025-08-21 12:45:48
Amazon,503,0.22394704818725586,True,2025-08-21 12:45:54
Globo,200,0.21822762489318848,False,2025-08-21 12:45:57
Teste 404,Erro,,False,2025-08-21 12:46:11
Teste 500,Erro,,False,2025-08-21 12:46:11
Teste 301,200,0.27342844009399414,False,2025-08-21 12:46:11
Teste 403,Erro,,False,2025-08-21 12:46:11
Google,200,0.23529767990112305,False,2025-08-21 12:47:12
LinkedIn,200,0.3385913372039795,False,2025-08-21 12:47:18
Amazon,503,0.22178244590759277,True,2025-08-21 12:47:24
Globo,200,0.13481569290161133,False,2025-08-21 12:47:26
Teste 404,Erro,,False,2025-08-21 12:47:36
Teste 500,Erro,,False,2025-08-21 12:47:36
Teste 301,200,0.2062397003173828,False,2025-08-21 12:47:36
Teste 403,Erro,,False,2025-08-21 12:47:37
Google,200,0.1929640769958496,False,2025-08-21 12:48:37
LinkedIn,200,0.2978348731994629,False,2025-08-21 12:48:43
Amazon,503,0.18840575218200684,True,2025-08-21 12:48:50
Globo,200,0.1496901512145996,False,2025-08-21 12:48:51
Teste 404,Erro,,False,2025-08-21 12:48:57
Teste 500,Erro,,False,2025-08-21 12:48:58
Teste 301,200,0.23978757858276367,False,2025-08-21 12:48:58
Teste 403,Erro,,False,2025-08-21 12:48:58
Google,200,0.18412184715270996,False,2025-08-21 12:49:59
LinkedIn,200,0.3792586326599121,False,2025-08-21 12:50:05
Amazon,503,0.40964508056640625,True,2025-08-21 12:50:11
Globo,200,0.3028371334075928,False,2025-08-21 12:50:13
Teste 404,Erro,,False,2025-08-21 12:50:29
Teste 500,Erro,,False,2025-08-21 12:50:29
Teste 301,200,0.2257547378540039,False,2025-08-21 12:50:29
Teste 403,Erro,,False,2025-08-21 12:50:30
Google,200,0.21489191055297852,False,2025-08-21 12:51:30
LinkedIn,200,0.28118276596069336,False,2025-08-21 12:51:36
Amazon,503,0.183610200881958,True,2025-08-21 12:51:42
Globo,200,0.17722344398498535,False,2025-08-21 12:51:44
Teste 404,Erro,,False,2025-08-21 12:51:54
Teste 500,Erro,,False,2025-08-21 12:51:54
Teste 301,200,0.2075507640838623,False,2025-08-21 12:51:55
Teste 403,Erro,,False,2025-08-21 12:51:55
Google,200,0.20939111709594727,False,2025-08-21 12:52:55
LinkedIn,200,0.3658623695373535,False,2025-08-21 12:53:01
Amazon,503,0.22058343887329102,True,2025-08-21 12:53:08
Globo,200,0.1681656837463379,False,2025-08-21 12:53:10
Teste 404,Erro,,False,2025-08-21 12:53:19
Teste 500,403,0.662466287612915,False,2025-08-21 12:53:19
Teste 301,200,0.19878721237182617,False,2025-08-21 12:53:20
Teste 403,Erro,,False,2025-08-21 12:53:20
Google,200,0.21562504768371582,False,2025-08-21 12:54:20
LinkedIn,200,0.3280510902404785,False,2025-08-21 12:54:26
Amazon,503,0.22856998443603516,True,2025-08-21 12:54:33
Globo,200,0.15398502349853516,False,2025-08-21 12:54:34
Teste 404,Erro,,False,2025-08-21 12:54:44
Teste 500,Erro,,False,2025-08-21 12:54:45
Teste 301,200,0.2010359764099121,False,2025-08-21 12:54:45
Teste 403,Erro,,False,2025-08-21 12:54:45
Google,200,0.23196792602539062,False,2025-08-21 12:55:46
LinkedIn,200,0.3288736343383789,False,2025-08-21 12:55:52
Amazon,503,0.2567300796508789,True,2025-08-21 12:55:58
Globo,200,0.1934189796447754,False,2025-08-21 12:55:59
Teste 404,Erro,,False,2025-08-21 12:56:09
Teste 500,Erro,,False,2025-08-21 12:56:10
Teste 301,200,0.19324803352355957,False,2025-08-21 12:56:10
Teste 403,Erro,,False,2025-08-21 12:56:10
Google,200,0.1987617015838623,False,2025-08-21 12:57:10
LinkedIn,200,0.40953969955444336,False,2025-08-21 12:57:16
Amazon,503,0.19421625137329102,True,2025-08-21 12:57:23
Globo,200,0.14476323127746582,False,2025-08-21 12:57:25
Teste 404,Erro,,False,2025-08-21 12:57:35
Teste 500,Erro,,False,2025-08-21 12:57:35
Teste 301,200,0.21709394454956055,False,2025-08-21 12:57:36
Teste 403,Erro,,False,2025-08-21 12:57:36
Google,200,0.19972610473632812,False,2025-08-21 12:58:36
LinkedIn,200,0.3566269874572754,False,2025-08-21 12:58:42
Amazon,503,0.24065923690795898,True,2025-08-21 12:58:48
Globo,200,0.14880752563476562,False,2025-08-21 12:58:50
Teste 404,Erro,,False,2025-08-21 12:59:00
Teste 500,Erro,,False,2025-08-21 12:59:01
Teste 301,200,0.21818971633911133,False,2025-08-21 12:59:01
Teste 403,Erro,,False,2025-08-21 12:59:01
Google,200,0.2515406608581543,False,2025-08-21 13:00:02
LinkedIn,200,0.3090643882751465,False,2025-08-21 13:00:08
Amazon,503,0.18654608726501465,True,2025-08-21 13:00:14
Globo,200,0.2488865852355957,False,2025-08-21 13:00:16
Teste 404,Erro,,False,2025-08-21 13:00:26
Teste 500,Erro,,False,2025-08-21 13:00:26
Teste 301,200,0.2064652442932129,False,2025-08-21 13:00:27
Teste 403,Erro,,False,2025-08-21 13:00:27
Google,200,0.22695374488830566,False,2025-08-21 13:01:27
LinkedIn,200,0.5363919734954834,False,2025-08-21 13:01:33
Amazon,503,0.18427324295043945,True,2025-08-21 13:01:40
Globo,200,0.23401522636413574,False,2025-08-21 13:01:42
Teste 404,Erro,,False,2025-08-21 13:01:56
Teste 500,Erro,,False,2025-08-21 13:01:56
Teste 301,200,0.24038100242614746,False,2025-08-21 13:01:57
Teste 403,Erro,,False,2025-08-21 13:01:57
Google,200,0.25261712074279785,False,2025-08-21 13:02:57
LinkedIn,200,0.37429285049438477,False,2025-08-21 13:03:03
Amazon,503,0.2226426601409912,True,2025-08-21 13:03:10
Globo,200,0.3338625431060791,False,2025-08-21 13:03:12
Teste 404,Erro,,False,2025-08-21 13:03:22
Teste 500,Erro,,False,2025-08-21 13:03:22
Teste 301,200,0.20447230339050293,False,2025-08-21 13:03:22
Teste 403,Erro,,False,2025-08-21 13:03:23
Google,200,0.20929884910583496,False,2025-08-21 13:04:23
LinkedIn,200,0.4905509948730469,False,2025-08-21 13:04:29
Amazon,503,0.18214654922485352,True,2025-08-21 13:04:35
Globo,200,0.15523123741149902,False,2025-08-21 13:04:37
Teste 404,Erro,,False,2025-08-21 13:04:47
Teste 500,Erro,,False,2025-08-21 13:04:47
Teste 301,200,0.19873976707458496,False,2025-08-21 13:04:48
Teste 403,Erro,,False,2025-08-21 13:04:48
Google,200,0.19484233856201172,False,2025-08-21 13:05:49
LinkedIn,200,0.3292415142059326,False,2025-08-21 13:05:55
Amazon,503,0.20305418968200684,True,2025-08-21 13:06:01
Globo,200,0.28189826011657715,False,2025-08-21 13:06:03
Teste 404,Erro,,False,2025-08-21 13:06:15
Teste 500,Erro,,False,2025-08-21 13:06:15
Teste 301,200,0.21897149085998535,False,2025-08-21 13:06:15
Teste 403,Erro,,False,2025-08-21 13:06:16
Google,200,0.18533039093017578,False,2025-08-21 13:07:16
LinkedIn,200,0.4259788990020752,False,2025-08-21 13:07:22
Amazon,503,0.2201404571533203,True,2025-08-21 13:07:28
Globo,200,0.14081621170043945,False,2025-08-21 13:07:30
Teste 404,Erro,,False,2025-08-21 13:07:40
Teste 500,Erro,,False,2025-08-21 13:07:40
Teste 301,200,0.19922232627868652,False,2025-08-21 13:07:41
Teste 403,Erro,,False,2025-08-21 13:07:41
Google,200,0.22550296783447266,False,2025-08-21 13:08:41
LinkedIn,200,0.3214261531829834,False,2025-08-21 13:08:47
Amazon,503,0.41352176666259766,True,2025-08-21 13:08:54
Globo,200,0.27091002464294434,False,2025-08-21 13:08:56
Teste 404,Erro,,False,2025-08-21 13:09:06
Teste 500,Erro,,False,2025-08-21 13:09:06
Teste 301,200,0.21979546546936035,False,2025-08-21 13:09:06
Teste 403,Erro,,False,2025-08-21 13:09:07
Google,200,0.22827386856079102,False,2025-08-21 13:10:07
LinkedIn,200,0.3138866424560547,False,2025-08-21 13:10:13
Amazon,503,0.2044677734375,True,2025-08-21 13:10:19
Globo,200,0.1739058494567871,False,2025-08-21 13:10:21
Teste 404,Erro,,False,2025-08-21 13:10:31
Teste 500,Erro,,False,2025-08-21 13:10:31
Teste 301,200,0.1986546516418457,False,2025-08-21 13:10:32
Teste 403,Erro,,False,2025-08-21 13:10:32
Google,200,0.18109965324401855,False,2025-08-21 13:11:32
LinkedIn,200,0.3195488452911377,False,2025-08-21 13:11:38
Amazon,503,0.20145893096923828,True,2025-08-21 13:11:45
Globo,200,0.2660965919494629,False,2025-08-21 13:11:47
Teste 404,Erro,,False,2025-08-21 13:11:56
Teste 500,Erro,,False,2025-08-21 13:11:57
Teste 301,200,0.23583436012268066,False,2025-08-21 13:11:57
Teste 403,Erro,,False,2025-08-21 13:11:57
Google,200,0.2216806411743164,False,2025-08-21 13:12:58
LinkedIn,200,0.3188304901123047,False,2025-08-21 13:13:04
Amazon,503,0.19508838653564453,True,2025-08-21 13:13:10
Globo,200,0.15900063514709473,False,2025-08-21 13:13:12
Teste 404,Erro,,False,2025-08-21 13:13:22
Teste 500,Erro,,False,2025-08-21 13:13:22
Teste 301,200,0.1997969150543213,False,2025-08-21 13:13:23
Teste 403,Erro,,False,2025-08-21 13:13:23
Google,200,0.21399974822998047,False,2025-08-21 13:14:23
LinkedIn,200,0.2971494197845459,False,2025-08-21 13:14:29
Amazon,503,0.2391376495361328,True,2025-08-21 13:14:35
Globo,200,0.19394826889038086,False,2025-08-21 13:14:37
Teste 404,Erro,,False,2025-08-21 13:14:43
Teste 500,Erro,,False,2025-08-21 13:14:43
Teste 301,200,0.20213055610656738,False,2025-08-21 13:14:43
Teste 403,Erro,,False,2025-08-21 13:14:43
Google,200,0.26107025146484375,False,2025-08-21 13:15:44
LinkedIn,200,0.39757370948791504,False,2025-08-21 13:15:50
Amazon,503,0.19023966789245605,True,2025-08-21 13:15:56
Globo,200,0.26445722579956055,False,2025-08-21 13:15:58
Teste 404,Erro,,False,2025-08-21 13:16:10
Teste 500,Erro,,False,2025-08-21 13:16:10
Teste 301,200,0.20116186141967773,False,2025-08-21 13:16:10
Teste 403,Erro,,False,2025-08-21 13:16:11
Google,200,0.20436954498291016,False,2025-08-21 13:17:11
LinkedIn,200,0.3353455066680908,False,2025-08-21 13:17:17
Amazon,503,0.22155117988586426,True,2025-08-21 13:17:23
Globo,200,0.14737701416015625,False,2025-08-21 13:17:25
Teste 404,Erro,,False,2025-08-21 13:17:35
Teste 500,Erro,,False,2025-08-21 13:17:35
Teste 301,200,0.286266565322876,False,2025-08-21 13:17:35
Teste 403,Erro,,False,2025-08-21 13:17:36
Google,200,0.2251601219177246,False,2025-08-21 13:18:36
LinkedIn,200,0.32568883895874023,False,2025-08-21 13:18:42
Amazon,503,0.20727825164794922,True,2025-08-21 13:18:48
Globo,200,0.16979384422302246,False,2025-08-21 13:18:50
Teste 404,Erro,,False,2025-08-21 13:19:00
Teste 500,Erro,,False,2025-08-21 13:19:01
Teste 301,200,0.19195008277893066,False,2025-08-21 13:19:01
Teste 403,Erro,,False,2025-08-21 13:19:01
Google,200,0.21837806701660156,False,2025-08-21 13:20:01
LinkedIn,200,0.3669917583465576,False,2025-08-21 13:20:08
Amazon,503,0.18900156021118164,True,2025-08-21 13:20:14
Globo,200,0.1448361873626709,False,2025-08-21 13:20:16
Teste 404,Erro,,False,2025-08-21 13:20:26
Teste 500,Erro,,False,2025-08-21 13:20:26
Teste 301,200,0.23331713676452637,False,2025-08-21 13:20:26
Teste 403,Erro,,False,2025-08-21 13:20:26
Google,200,0.22276639938354492,False,2025-08-21 13:21:27
LinkedIn,200,0.4007852077484131,False,2025-08-21 13:21:33
Amazon,503,0.19729852676391602,True,2025-08-21 13:21:39
Globo,200,0.21108317375183105,False,2025-08-21 13:21:41
Teste 404,Erro,,False,2025-08-21 13:21:51
Teste 500,Erro,,False,2025-08-21 13:21:52
Teste 301,200,0.2052314281463623,False,2025-08-21 13:21:52
Teste 403,Erro,,False,2025-08-21 13:21:52
Google,200,0.2517068386077881,False,2025-08-21 13:22:52
LinkedIn,200,0.4876694679260254,False,2025-08-21 13:22:59
Amazon,503,0.3063240051269531,True,2025-08-21 13:23:05
Globo,200,0.16704392433166504,False,2025-08-21 13:23:07
Teste 404,Erro,,False,2025-08-21 13:23:17
Teste 500,Erro,,False,2025-08-21 13:23:18
Teste 301,200,0.23294329643249512,False,2025-08-21 13:23:18
Teste 403,Erro,,False,2025-08-21 13:23:18
Google,200,0.1858675479888916,False,2025-08-21 13:24:19
LinkedIn,200,0.3824794292449951,False,2025-08-21 13:24:25
Amazon,503,0.2558298110961914,True,2025-08-21 13:24:31
Globo,200,0.2287149429321289,False,2025-08-21 13:24:33
Teste 404,Erro,,False,2025-08-21 13:24:44
Teste 500,Erro,,False,2025-08-21 13:24:44
Teste 301,200,0.21351099014282227,False,2025-08-21 13:24:44
Teste 403,Erro,,False,2025-08-21 13:24:44
Google,200,0.2069246768951416,False,2025-08-21 13:25:45
LinkedIn,200,0.29689455032348633,False,2025-08-21 13:25:51
Amazon,503,0.18439650535583496,True,2025-08-21 13:25:57
Globo,200,0.14829230308532715,False,2025-08-21 13:25:59
Teste 404,Erro,,False,2025-08-21 13:26:09
Teste 500,Erro,,False,2025-08-21 13:26:09
Teste 301,200,0.21584582328796387,False,2025-08-21 13:26:09
Teste 403,Erro,,False,2025-08-21 13:26:10
Google,200,0.19829154014587402,False,2025-08-21 13:27:10
LinkedIn,200,0.35399508476257324,False,2025-08-21 13:27:16
Amazon,503,0.18845486640930176,True,2025-08-21 13:27:22
Globo,200,0.22930455207824707,False,2025-08-21 13:27:24
Teste 404,Erro,,False,2025-08-21 13:27:35
Teste 500,Erro,,False,2025-08-21 13:27:35
Teste 301,200,0.19663596153259277,False,2025-08-21 13:27:35
Teste 403,Erro,,False,2025-08-21 13:27:35